id,event_type,latitude,longitude,event_cause,requires_road_closure,start_datetime,status,corridor,priority,created_date,police_station
FKID000013,unplanned,13.0418933,77.594705,others,FALSE,2023-12-26 19:15:28.124+00,closed,ORR North 1,High,2023-12-26 19:16:09.549364+00,Hebbala
FKID000014,unplanned,12.975285,77.6256902,pot_holes,FALSE,2024-03-07 19:26:15.604+00,active,Old Madras Road,High,2024-03-07 19:28:21.681907+00,Halasur
FKID000015,unplanned,13.0633917,77.5933483,others,FALSE,2024-03-07 19:10:21.93+00,active,Bellary Road 2,High,2024-03-07 19:11:02.983156+00,Kodigehalli
FKID000016,unplanned,13.063425,77.5933,others,FALSE,2024-03-07 19:11:15.565+00,active,Bellary Road 2,High,2024-03-07 19:11:57.171334+00,Kodigehalli
FKID000017,unplanned,13.0254527,77.6417388,others,FALSE,2024-03-07 19:18:29.89+00,active,ORR North 1,High,2024-03-07 19:20:02.091296+00,Hennuru
FKID000018,unplanned,12.9233517,77.5904883,tree_fall,FALSE,2024-03-07 19:39:29.764+00,closed,Non-corridor,Low,2024-03-07 19:44:04.840279+00,Jayanagara
FKID000019,unplanned,13.0001393,77.5840594,vehicle_breakdown,FALSE,2024-01-30 04:49:17.231+00,closed,Bellary Road 1,High,2024-01-30 04:51:12.899255+00,Sadashivanagar
FKID000020,unplanned,12.9071221,77.6286395,vehicle_breakdown,FALSE,2024-03-07 19:25:04.302+00,closed,Hosur Road,High,2024-03-07 19:27:14.960257+00,Madiwala
FKID000021,unplanned,12.927375,77.5806883,tree_fall,TRUE,2024-03-07 19:45:16.034+00,closed,Non-corridor,Low,2024-03-07 19:47:58.459881+00,Jayanagara
FKID000022,unplanned,12.9169074,77.5950955,pot_holes,FALSE,2024-01-05 22:35:41.185+00,closed,Non-corridor,Low,2024-01-05 22:36:57.627179+00,Jayanagara
FKID000023,unplanned,12.9667047,77.6615983,pot_holes,FALSE,2024-01-30 08:32:47.117+00,active,NULL,Low,2024-01-30 08:33:47.540206+00,Jeevanbheemanagar
FKID000024,unplanned,12.8966387,77.7202071,water_logging,FALSE,2024-03-07 19:55:24.461+00,active,Non-corridor,Low,2024-03-07 19:59:11.246383+00,Whitefield
FKID000025,unplanned,12.9463911,77.597326,tree_fall,TRUE,2024-03-07 06:09:19.361+00,closed,Non-corridor,Low,2024-03-07 06:10:16.176379+00,Wilson Garden
FKID000026,unplanned,12.9856042,77.5977438,pot_holes,FALSE,2024-01-30 08:35:04.399+00,active,NULL,High,2024-01-30 08:35:50.025285+00,Shivajinagar
FKID000027,unplanned,12.9077383,77.6005709,vehicle_breakdown,FALSE,2024-01-30 08:12:47.138+00,closed,Bannerghata Road,High,2024-01-30 08:14:16.420314+00,Mico Layout
FKID000028,unplanned,12.9635109,77.6642122,pot_holes,FALSE,2024-01-30 08:25:57.212+00,closed,NULL,Low,2024-01-30 08:28:51.106311+00,HAL Old Airport
FKID000029,unplanned,12.9667073,77.6615616,pot_holes,FALSE,2024-01-30 08:31:37.367+00,active,NULL,Low,2024-01-30 08:32:13.484988+00,Jeevanbheemanagar
FKID000030,unplanned,12.9666867,77.6616478,pot_holes,FALSE,2024-01-30 08:33:55.212+00,active,Non-corridor,Low,2024-01-30 08:34:48.349991+00,Jeevanbheemanagar
FKID000031,unplanned,12.907814,77.6006561,vehicle_breakdown,TRUE,2024-01-30 08:08:05.581+00,closed,Bannerghata Road,High,2024-01-30 08:11:01.60818+00,Mico Layout
FKID000032,unplanned,12.8955737,77.5993711,vehicle_breakdown,FALSE,2024-01-30 05:43:18.534+00,closed,Bannerghata Road,High,2024-01-30 05:44:59.860926+00,J.P. Nagar
FKID000033,unplanned,12.92757,77.5832051,tree_fall,FALSE,2024-03-07 20:06:03.523+00,closed,Non-corridor,Low,2024-03-07 20:06:37.915099+00,Jayanagara
FKID000034,unplanned,13.044697,77.5828546,congestion,FALSE,2024-01-30 05:38:15.485+00,closed,ORR North 2,High,2024-01-30 05:39:28.665706+00,Kodigehalli
FKID000035,unplanned,12.9666885,77.6616396,pot_holes,FALSE,2024-01-30 08:35:57.672+00,active,NULL,Low,2024-01-30 08:36:54.308956+00,Jeevanbheemanagar
FKID000036,unplanned,12.9789228,77.5644032,vehicle_breakdown,FALSE,2024-03-07 20:17:50.952+00,closed,Magadi Road,High,2024-03-07 20:19:21.251912+00,Magadi Road
FKID000037,unplanned,12.8636494,77.6725849,accident,FALSE,2024-01-30 03:52:59.126038+00,closed,Non-corridor,Low,2024-01-30 08:53:47.147922+00,Electronic City
FKID000038,unplanned,12.9219483,77.6002467,vehicle_breakdown,FALSE,2024-01-30 15:15:10.139+00,closed,Bannerghata Road,High,2024-01-30 15:18:28.719881+00,Mico Layout
FKID000039,unplanned,12.9666597,77.661556,pot_holes,FALSE,2024-01-30 08:37:16.322+00,active,NULL,Low,2024-01-30 08:40:15.935486+00,Jeevanbheemanagar
FKID000040,planned,12.946469,77.6986754,construction,FALSE,2024-01-30 11:31:12.848+00,closed,ORR East 1,High,2024-01-30 11:32:15.765069+00,HAL Old Airport
FKID000041,unplanned,12.9936273,77.5844677,others,TRUE,2024-03-07 20:20:31.14+00,closed,Bellary Road 1,High,2024-03-07 20:23:59.6178+00,High ground
FKID000042,unplanned,12.9465079,77.6986339,vehicle_breakdown,FALSE,2024-01-30 20:38:19.329+00,closed,ORR East 1,High,2024-01-30 20:40:06.042986+00,HAL Old Airport
FKID000043,unplanned,13.0467058,77.5036495,vehicle_breakdown,FALSE,2024-03-07 18:29:50.857+00,closed,Non-corridor,Low,2024-03-07 18:31:53.902977+00,Chikkabanavara
FKID000044,unplanned,13.0166142,77.5054464,vehicle_breakdown,FALSE,2023-12-28 06:06:26.375+00,closed,Non-corridor,Low,2023-12-28 06:07:50.737435+00,Peenya
FKID000045,planned,13.0085677,77.6131497,construction,TRUE,2024-01-30 21:21:10.303+00,closed,Non-corridor,Low,2024-01-30 21:21:41.722681+00,K.G. Halli
FKID000046,unplanned,13.0309717,77.5364661,vehicle_breakdown,FALSE,2024-01-30 19:33:25.417+00,closed,Tumkur Road,High,2024-01-30 19:35:20.337586+00,Yeshwanthpura
FKID000047,unplanned,13.0262806,77.5442344,others,FALSE,2024-03-07 20:27:15.443+00,closed,Tumkur Road,High,2024-03-07 20:29:28.84539+00,Yeshwanthpura
FKID000048,unplanned,12.9938639,77.5844374,tree_fall,FALSE,2024-03-07 20:41:41.999+00,closed,Bellary Road 1,High,2024-03-07 20:42:35.482807+00,High ground
FKID000049,unplanned,12.9188682,77.6687736,vehicle_breakdown,FALSE,2024-01-30 21:27:52.454+00,closed,ORR East 1,High,2024-01-30 21:29:36.526728+00,Bellandur
FKID000050,unplanned,12.9546127,77.6423399,congestion,FALSE,2024-01-30 20:46:34.356+00,closed,IRR(Thanisandra road),High,2024-01-30 20:46:56.603762+00,Jeevanbheemanagar
FKID000051,unplanned,12.936133,77.5187044,vehicle_breakdown,FALSE,2024-01-30 21:13:55.445+00,closed,Mysore Road,High,2024-01-30 21:16:43.603052+00,Byatarayanapura
FKID000052,planned,12.9694079,77.7006346,construction,FALSE,2024-01-30 20:56:01.732+00,closed,ORR East 2,High,2024-01-30 20:56:43.100304+00,HAL Old Airport
FKID000053,unplanned,12.9849833,77.5883633,vehicle_breakdown,FALSE,2024-01-30 21:47:40.463+00,closed,Bellary Road 1,High,2024-01-30 21:51:46.251707+00,High ground
FKID000054,unplanned,13.0127301,77.5545135,vehicle_breakdown,FALSE,2024-03-07 20:42:57.607+00,closed,West of Chord Road,High,2024-03-07 20:45:17.862935+00,Malleshwaram
FKID000055,unplanned,12.9842019,77.7336286,road_conditions,FALSE,2024-01-30 21:54:56.083+00,closed,Non-corridor,Low,2024-01-30 21:55:49.646644+00,Whitefield
FKID000056,unplanned,13.2644465,77.7187627,vehicle_breakdown,TRUE,2024-01-30 19:36:33.702+00,closed,Non-corridor,Low,2024-01-30 19:38:18.682995+00,Devanahalli Airport
FKID000057,unplanned,12.9848257,77.7527586,vehicle_breakdown,FALSE,2024-01-30 22:06:02.276+00,closed,Non-corridor,Low,2024-01-30 22:07:20.927778+00,Mahadevapura
FKID000058,unplanned,12.9932986,77.5837571,tree_fall,FALSE,2024-03-07 20:51:39.532+00,closed,Bellary Road 1,High,2024-03-07 20:52:53.033507+00,High ground
FKID000059,unplanned,12.9937523,77.5842482,tree_fall,FALSE,2024-03-07 20:47:40.64+00,closed,Bellary Road 1,High,2024-03-07 20:48:21.533886+00,High ground
FKID000060,unplanned,12.9938868,77.5841876,tree_fall,FALSE,2024-03-07 20:45:19.752+00,closed,Bellary Road 1,High,2024-03-07 20:47:05.154098+00,High ground
FKID000061,unplanned,12.9368467,77.6928653,vehicle_breakdown,FALSE,2024-01-30 23:05:02.339+00,resolved,ORR East 1,High,2024-01-30 23:06:09.103789+00,HAL Old Airport
FKID000062,unplanned,13.0126766,77.5581246,tree_fall,TRUE,2024-03-07 20:53:37.293+00,closed,Non-corridor,Low,2024-03-07 20:54:24.364146+00,Malleshwaram
FKID000063,unplanned,12.9513113,77.4994888,vehicle_breakdown,FALSE,2024-01-30 23:12:23.123+00,closed,Non-corridor,Low,2024-01-30 23:14:11.203391+00,Jnanabharathi
FKID000064,unplanned,13.0160964,77.5068555,vehicle_breakdown,FALSE,2024-01-30 21:21:57.881+00,closed,Non-corridor,Low,2024-01-30 21:24:10.181727+00,Peenya
FKID000065,unplanned,12.9807501,77.6028238,pot_holes,FALSE,2024-03-07 21:05:54.697+00,active,CBD 1,High,2024-03-07 21:07:59.668617+00,Shivajinagar
FKID000066,unplanned,12.9165983,77.583705,tree_fall,FALSE,2024-03-07 20:58:06.297+00,closed,Non-corridor,Low,2024-03-07 20:59:18.285194+00,J.P. Nagar
FKID000067,unplanned,13.0198619,77.6562235,pot_holes,FALSE,2024-01-31 01:04:36.275+00,active,NULL,High,2024-01-31 01:05:39.540205+00,Hennuru
FKID000068,unplanned,13.0191848,77.6555127,pot_holes,FALSE,2024-01-31 01:01:36.195+00,active,ORR North 1,High,2024-01-31 01:04:25.563456+00,Hennuru
FKID000069,unplanned,12.9740913,77.5452252,vehicle_breakdown,FALSE,2024-01-31 00:33:27.663+00,closed,West of Chord Road,High,2024-01-31 00:34:11.984483+00,Vijayanagara
FKID000070,unplanned,12.9740971,77.5449011,vehicle_breakdown,FALSE,2024-01-31 00:36:02.277+00,closed,West of Chord Road,High,2024-01-31 00:37:29.633418+00,Vijayanagara
FKID000071,unplanned,12.9688926,77.569795,vehicle_breakdown,FALSE,2024-01-31 01:24:44.373+00,closed,Non-corridor,Low,2024-01-31 01:27:32.617672+00,Chamarajpet
FKID000072,unplanned,12.9838737,77.5286068,pot_holes,FALSE,2024-01-30 23:46:07.351+00,closed,Magadi Road,High,2024-01-30 23:46:29.635454+00,Kamakshipalya
FKID000073,unplanned,12.9595586,77.5162093,others,FALSE,2024-01-30 23:23:41.783+00,closed,Non-corridor,Low,2024-01-30 23:24:30.510154+00,Byatarayanapura
FKID000074,unplanned,12.9511354,77.5739687,vehicle_breakdown,FALSE,2024-01-30 22:39:37.276+00,closed,Non-corridor,Low,2024-01-30 22:42:30.33674+00,V.V.Puram (C.Pet)
FKID000075,unplanned,13.0192138,77.5395595,vehicle_breakdown,FALSE,2024-01-30 23:11:03.886+00,closed,Non-corridor,Low,2024-01-30 23:12:44.142059+00,Rajajinagar
FKID000076,unplanned,12.9161187,77.5856548,pot_holes,FALSE,2024-03-07 21:11:51.734+00,closed,Non-corridor,Low,2024-03-07 21:13:23.340352+00,J.P. Nagar
FKID000077,unplanned,12.9284355,77.6811918,vehicle_breakdown,TRUE,2024-01-30 23:18:30.88+00,closed,ORR East 1,High,2024-01-30 23:19:30.321743+00,Bellandur
FKID000078,unplanned,13.0753282,77.4370383,vehicle_breakdown,FALSE,2024-03-07 19:23:40.435+00,closed,Non-corridor,Low,2024-03-07 19:24:39.809788+00,No Police Station
FKID000079,unplanned,13.2673624,77.7195893,vehicle_breakdown,FALSE,2024-03-07 19:23:25.4+00,closed,Non-corridor,Low,2024-03-07 19:27:13.485887+00,Devanahalli Airport
FKID000080,unplanned,12.9449039,77.4949618,others,FALSE,2024-03-07 21:25:26.425+00,closed,Non-corridor,Low,2024-03-07 21:26:42.075291+00,Jnanabharathi
FKID000081,unplanned,12.9873133,77.6163481,tree_fall,FALSE,2024-03-07 21:17:00.312+00,closed,Non-corridor,Low,2024-03-07 21:18:56.020966+00,Pulikeshinagar(F.Town)
FKID000082,planned,12.969418,77.7006526,construction,FALSE,2024-03-07 21:23:16.629+00,closed,ORR East 2,High,2024-03-07 21:25:40.927133+00,HAL Old Airport
FKID000083,unplanned,12.9613232,77.5644194,others,TRUE,2024-03-07 21:14:45.233+00,closed,Mysore Road,High,2024-03-07 21:16:39.043124+00,Chamarajpet
FKID000084,unplanned,12.959419,77.5165897,others,FALSE,2024-03-07 21:28:44.841+00,closed,Non-corridor,Low,2024-03-07 21:29:22.499126+00,Byatarayanapura
FKID000085,unplanned,12.9431035,77.6220445,pot_holes,FALSE,2024-03-07 21:25:14.206+00,closed,Non-corridor,Low,2024-03-07 21:26:34.58741+00,Adugodi
FKID000086,unplanned,12.8482637,77.6713737,vehicle_breakdown,FALSE,2024-01-31 02:47:16.032+00,closed,Non-corridor,Low,2024-01-31 02:48:28.817704+00,Electronic City
FKID000087,unplanned,12.96672,77.6093294,vehicle_breakdown,FALSE,2024-01-31 05:03:24.794+00,closed,Mysore Road,High,2024-01-31 05:04:44.117365+00,Ashok Nagar
FKID000088,unplanned,13.0253205,77.6400845,vehicle_breakdown,FALSE,2024-03-07 21:35:50.715+00,closed,ORR North 1,High,2024-03-07 21:36:46.339775+00,Banaswadi
FKID000089,unplanned,12.8561783,77.6645205,vehicle_breakdown,FALSE,2024-01-31 02:08:55.286+00,closed,Non-corridor,Low,2024-01-31 02:12:41.435747+00,Electronic City
FKID000090,unplanned,12.9641056,77.5825203,water_logging,FALSE,2024-01-31 03:04:31.974+00,closed,Mysore Road,High,2024-01-31 03:05:38.850799+00,Halasuru Gate
FKID000091,unplanned,12.974757,77.5657216,vehicle_breakdown,FALSE,2024-01-31 01:22:31.388+00,closed,Magadi Road,High,2024-01-31 01:37:23.6272+00,Magadi Road
FKID000092,unplanned,12.9640011,77.5836093,vehicle_breakdown,FALSE,2024-01-31 01:45:45.37+00,closed,Mysore Road,High,2024-01-31 01:46:37.300384+00,Halasuru Gate
FKID000093,unplanned,12.9480512,77.5343585,vehicle_breakdown,FALSE,2024-01-31 04:21:01.833+00,closed,Mysore Road,High,2024-01-31 04:22:16.818647+00,Byatarayanapura
FKID000094,unplanned,12.9245654,77.6739287,vehicle_breakdown,FALSE,2024-01-31 03:31:13.977+00,closed,ORR East 1,High,2024-01-31 03:32:20.867464+00,Bellandur
FKID000095,unplanned,13.0078566,77.5920655,tree_fall,FALSE,2024-03-07 21:47:02.8+00,closed,Non-corridor,Low,2024-03-07 21:47:53.871405+00,R.T. Nagar
FKID000096,unplanned,13.0035862,77.5721203,tree_fall,TRUE,2024-03-07 21:49:19.785+00,active,Non-corridor,Low,2024-03-07 21:50:01.99538+00,Malleshwaram
FKID000097,unplanned,12.9854129,77.5941024,others,FALSE,2024-03-07 21:59:21.123+00,active,CBD 2,High,2024-03-07 22:00:37.288438+00,Cubbon Park
FKID000098,unplanned,12.9272622,77.5806774,tree_fall,TRUE,2024-03-07 21:57:57.213+00,active,Non-corridor,Low,2024-03-07 21:58:32.986236+00,Jayanagara
FKID000099,unplanned,13.0022504,77.5722138,tree_fall,TRUE,2024-03-07 21:37:11.187+00,closed,Non-corridor,Low,2024-03-07 21:37:45.137084+00,Sadashivanagar
FKID000100,unplanned,12.9586724,77.5629452,tree_fall,TRUE,2024-03-07 21:34:37.863+00,closed,Mysore Road,High,2024-03-07 21:37:04.195932+00,Chamarajpet
FKID000101,unplanned,13.0369808,77.5895122,vehicle_breakdown,FALSE,2024-01-31 03:11:13.623+00,closed,Bellary Road 1,High,2024-01-31 03:14:01.508708+00,Hebbala
FKID000102,unplanned,12.9169077,77.5737827,vehicle_breakdown,FALSE,2024-01-31 03:23:09.51+00,closed,Non-corridor,Low,2024-01-31 03:24:08.759464+00,Jayanagara
FKID000103,unplanned,12.9047066,77.6016042,pot_holes,FALSE,2024-03-07 22:01:11.729+00,active,Bannerghata Road,High,2024-03-07 22:02:33.439017+00,J.P. Nagar
FKID000104,unplanned,12.9047995,77.6017019,pot_holes,FALSE,2024-03-07 22:02:40.027+00,active,Bannerghata Road,High,2024-03-07 22:03:30.325961+00,J.P. Nagar
FKID000105,unplanned,12.9774707,77.5457303,water_logging,FALSE,2024-03-07 22:06:56.368+00,active,West of Chord Road,High,2024-03-07 22:08:07.31765+00,Vijayanagara
FKID000106,unplanned,12.904781,77.6015741,pot_holes,FALSE,2024-03-07 22:07:52.537+00,active,Bannerghata Road,High,2024-03-07 22:10:17.270279+00,J.P. Nagar
FKID000107,unplanned,12.9238693,77.5536044,vehicle_breakdown,FALSE,2024-01-31 05:41:26.253+00,closed,ORR West 1,High,2024-01-31 05:44:24.310732+00,Banashankari
FKID000108,unplanned,12.9585656,77.5932824,others,FALSE,2024-01-31 07:26:39.082+00,active,Non-corridor,Low,2024-01-31 07:28:38.53329+00,Ashok Nagar
FKID000109,unplanned,12.9601533,77.5633429,tree_fall,FALSE,2024-03-07 22:16:53.889+00,closed,Mysore Road,High,2024-03-07 22:17:29.026749+00,Chamarajpet
FKID000110,unplanned,12.9578001,77.5631189,tree_fall,FALSE,2024-03-07 22:08:18.693+00,closed,Non-corridor,Low,2024-03-07 22:08:52.011941+00,Chamarajpet
FKID000111,unplanned,12.95836,77.5776317,vehicle_breakdown,FALSE,2024-03-07 22:28:07.464+00,closed,Non-corridor,Low,2024-03-07 22:29:50.663892+00,City Market
FKID000112,unplanned,12.9187567,77.621505,pot_holes,FALSE,2023-12-16 02:15:10.244+00,closed,ORR East 1,High,2023-12-16 02:15:32.671555+00,Madiwala
FKID000113,unplanned,13.0331905,77.5901915,construction,FALSE,2024-03-07 22:40:56.72+00,closed,Bellary Road 1,High,2024-03-07 22:41:58.865738+00,Hebbala
FKID000114,unplanned,12.9360494,77.6154975,vehicle_breakdown,TRUE,2024-03-07 20:31:07.587+00,closed,Non-corridor,Low,2024-03-07 20:32:27.334421+00,Adugodi
FKID000115,unplanned,12.9784088,77.6285392,water_logging,FALSE,2024-03-07 22:55:04.919+00,active,Old Madras Road,High,2024-03-07 22:58:41.463468+00,Halasur
FKID000116,unplanned,12.9873237,77.6037885,pot_holes,FALSE,2024-03-07 22:33:02.896+00,active,Non-corridor,Low,2024-03-07 22:33:37.000765+00,Shivajinagar
FKID000117,unplanned,13.0190323,77.654465,vehicle_breakdown,FALSE,2024-03-07 22:48:31.761+00,closed,ORR North 1,High,2024-03-07 22:49:16.428823+00,Banaswadi
FKID000118,unplanned,13.0446713,77.5828869,congestion,FALSE,2024-01-31 05:48:22.545+00,closed,ORR North 2,High,2024-01-31 05:50:04.173602+00,Kodigehalli
FKID000119,unplanned,12.9119892,77.6254956,vehicle_breakdown,FALSE,2024-01-31 06:15:45.828+00,closed,Hosur Road,High,2024-01-31 06:18:51.221593+00,Madiwala
FKID000120,unplanned,12.9893579,77.5064443,vehicle_breakdown,FALSE,2024-01-31 05:56:24.296+00,closed,Magadi Road,High,2024-01-31 05:58:49.64298+00,Kamakshipalya
FKID000121,unplanned,13.0152581,77.5639687,vehicle_breakdown,FALSE,2024-03-07 19:49:46.025+00,closed,Tumkur Road,High,2024-03-07 19:52:47.394575+00,Sadashivanagar
FKID000122,unplanned,12.9392829,77.5596125,tree_fall,TRUE,2024-03-07 23:06:49.704+00,closed,Non-corridor,Low,2024-03-07 23:09:20.575174+00,Basavanagudi
FKID000123,unplanned,12.9614398,77.5600867,vehicle_breakdown,FALSE,2024-01-31 08:57:24.573+00,closed,Mysore Road,High,2024-01-31 08:58:24.324977+00,Chamarajpet
FKID000124,unplanned,12.9194445,77.6215536,vehicle_breakdown,FALSE,2024-01-31 08:05:37.513+00,closed,Hosur Road,High,2024-01-31 08:08:49.635409+00,Madiwala
FKID000125,unplanned,13.0501731,77.4947759,construction,FALSE,2024-01-31 11:11:49.384+00,active,Non-corridor,Low,2024-01-31 11:13:48.212253+00,Chikkabanavara
FKID000126,unplanned,12.8400906,77.6764868,accident,FALSE,2024-01-31 16:11:31.242+00,closed,Non-corridor,Low,2024-01-31 16:13:22.927895+00,Electronic City
FKID000127,unplanned,13.042636,77.5147881,accident,FALSE,2024-01-31 19:13:08.144+00,closed,Tumkur Road,High,2024-01-31 19:13:35.963938+00,Chikkabanavara
FKID000128,unplanned,12.9110914,77.6001308,vehicle_breakdown,FALSE,2024-01-31 19:17:09.201+00,closed,Bannerghata Road,High,2024-01-31 19:19:01.652468+00,Mico Layout
FKID000129,unplanned,12.9516567,77.500185,others,FALSE,2023-12-30 09:28:08.173+00,closed,Non-corridor,Low,2023-12-30 09:31:40.760351+00,Jnanabharathi
FKID000130,unplanned,12.9698017,77.7319617,pot_holes,FALSE,2024-01-31 20:10:41.586+00,active,NULL,Low,2024-01-31 20:11:52.468638+00,Whitefield
FKID000131,unplanned,13.114305,77.60655,vehicle_breakdown,FALSE,2024-01-31 20:34:20.329+00,closed,Bellary Road 2,High,2024-01-31 20:35:01.334708+00,Yelahanka
FKID000132,unplanned,12.9900159,77.5025425,vehicle_breakdown,FALSE,2024-01-31 20:33:08.407+00,closed,Magadi Road,High,2024-01-31 20:34:54.185587+00,Kamakshipalya
FKID000133,unplanned,13.0424443,77.5147257,accident,FALSE,2024-01-31 19:14:30.018+00,closed,Tumkur Road,High,2024-01-31 19:15:00.080772+00,Chikkabanavara
FKID000134,unplanned,12.9216832,77.6199372,vehicle_breakdown,TRUE,2024-01-31 19:45:59.207+00,closed,Hosur Road,High,2024-01-31 19:50:17.881149+00,Madiwala
FKID000135,unplanned,13.0467369,77.575502,others,FALSE,2023-12-21 07:01:13.955+00,closed,ORR North 2,High,2023-12-21 07:01:13.679678+00,Kodigehalli
FKID000136,unplanned,13.0427379,77.5892891,vehicle_breakdown,FALSE,2024-01-31 20:51:52.146+00,closed,Bellary Road 1,High,2024-01-31 20:51:28.549469+00,Kodigehalli
FKID000137,unplanned,13.0308555,77.5359082,vehicle_breakdown,FALSE,2024-01-31 20:38:26.221+00,closed,Tumkur Road,High,2024-01-31 20:39:29.851017+00,Yeshwanthpura
FKID000138,unplanned,13.0161873,77.7093516,pot_holes,TRUE,2024-01-21 00:50:18.118+00,closed,Non-corridor,Low,2024-01-21 00:52:30.447069+00,K.R. Pura
FKID000139,planned,12.9693576,77.7006406,construction,FALSE,2024-01-31 21:05:04.75+00,closed,ORR East 2,High,2024-01-31 21:06:03.165568+00,HAL Old Airport
FKID000140,unplanned,12.9625526,77.5916298,vehicle_breakdown,FALSE,2024-03-07 21:35:39.063+00,closed,Non-corridor,Low,2024-03-07 21:36:55.335176+00,Halasuru Gate
FKID000141,unplanned,12.9893817,77.5927844,others,FALSE,2024-03-07 23:28:51.195+00,active,Non-corridor,Low,2024-03-07 23:34:03.308823+00,Cubbon Park
FKID000142,unplanned,12.938565,77.6979933,water_logging,FALSE,2024-03-07 23:17:27.277+00,closed,ORR East 1,High,2024-03-07 23:24:36.534268+00,HAL Old Airport
FKID000143,unplanned,12.9690624,77.5872736,vehicle_breakdown,TRUE,2024-03-07 23:36:30.807+00,closed,Mysore Road,High,2024-03-07 23:38:48.571214+00,Halasuru Gate
FKID000144,unplanned,12.961311,77.55932,tree_fall,TRUE,2024-03-07 23:41:21.369+00,closed,Mysore Road,High,2024-03-07 23:42:16.742501+00,Chamarajpet
FKID000145,unplanned,12.9146696,77.5640607,road_conditions,FALSE,2024-01-31 21:52:18.31+00,closed,ORR West 1,High,2024-01-31 21:52:51.780717+00,K.S. Layout
FKID000146,unplanned,12.9173038,77.5882958,vehicle_breakdown,FALSE,2024-01-31 21:09:52.368+00,closed,Non-corridor,Low,2024-01-31 21:10:54.608133+00,Jayanagara
FKID000147,unplanned,12.9144686,77.5650362,road_conditions,FALSE,2024-01-31 21:59:26.148+00,active,ORR West 1,High,2024-01-31 21:59:57.257036+00,Banashankari
FKID000148,unplanned,12.9144815,77.5650493,road_conditions,FALSE,2024-01-31 21:33:45.025+00,active,ORR West 1,High,2024-01-31 21:34:15.775737+00,Banashankari
FKID000149,unplanned,12.9113626,77.5999548,vehicle_breakdown,FALSE,2024-01-31 19:00:04.306+00,closed,Bannerghata Road,High,2024-01-31 19:00:50.03913+00,Mico Layout
FKID000150,unplanned,12.9353705,77.5182037,vehicle_breakdown,FALSE,2024-01-31 21:03:56.011+00,closed,Mysore Road,High,2024-01-31 21:27:21.739054+00,Byatarayanapura
FKID000151,unplanned,12.9216444,77.5940415,tree_fall,TRUE,2024-03-07 23:51:40.169+00,active,Non-corridor,Low,2024-03-07 23:52:52.759012+00,Jayanagara
FKID000152,unplanned,12.9246541,77.6497438,vehicle_breakdown,FALSE,2024-01-31 22:01:00.508+00,closed,ORR East 1,High,2024-01-31 22:04:22.820844+00,HAL Old Airport
FKID000153,unplanned,12.9145147,77.5649877,road_conditions,FALSE,2024-01-31 22:04:51.071+00,active,ORR West 1,High,2024-01-31 22:05:15.584323+00,Banashankari
